module,type,name,res_id,src,value,comments,
delivery_correios,model,"ir.model.fields,field_description",delivery_correios.field_delivery_carrier__correios_contract_code,Correios contract code,Código de contrato dos correios,,
delivery_correios,model,"ir.model.fields,field_description",delivery_correios.field_delivery_carrier__correios_password,Correios password,Senha correios,,
delivery_correios,model,"ir.model.fields,field_description",delivery_correios.field_delivery_carrier__correios_sender_zip,Correios sender zip,,,
delivery_correios,model,"ir.model.fields,field_description",delivery_correios.field_delivery_carrier__correios_service_code,Correios service,Serviço correios,,
delivery_correios,model,"ir.model.fields,help",delivery_correios.field_delivery_carrier__correios_service_code,Select the Correios service to be used for this carrier.,Selecione o serviço dos correios a ser utilizado por esta transportadora,,
delivery_correios,model,"ir.model.fields,field_description",delivery_correios.field_delivery_carrier__correios_user,Correios user,Usuário correios,,
delivery_correios,model,"ir.model.fields,field_description",delivery_correios.field_delivery_carrier__delivery_type,Provider,Prestador,,
delivery_correios,model,"ir.model.fields,field_description",delivery_correios.field_res_config_settings__module_delivery_correios,Correios Connector,Conectores de correios,,
healthcare_crm,model,"ir.model.fields,field_description",healthcare_crm.field_crm_lead__partner_council_registration,Council Registration,Registro no Conselho,,
healthcare_crm,model,"ir.model.fields,help",healthcare_crm.field_crm_lead__partner_council_registration,Registration of the council of the health professional.,Registro no conselho do profissional de saúde.,,
healthcare_crm,model,"ir.model.fields,field_description",healthcare_crm.field_crm_lead__partner_is_health_professional,Is Health Professional?,Ã‰ Profissional de SaÃºde?,,
healthcare_crm,model,"ir.model.fields,field_description",healthcare_crm.field_crm_lead__partner_profession_id,Profession,Profissão,,
healthcare_crm,model,"ir.model.fields,help",healthcare_crm.field_crm_lead__partner_profession_id,Profession of the health professional.,Profissão do profissional de saúde.,,
healthcare_crm,model,"ir.model.fields,field_description",healthcare_crm.field_crm_lead__partner_regional_council_id,Regional Council,Conselho Regional,,
healthcare_crm,model,"ir.model.fields,help",healthcare_crm.field_crm_lead__partner_regional_council_id,Regional council regulating this health professional's profession.,Conselho regional que regulamenta a profissão deste profissional de saúde.,,
healthcare_crm,model,"ir.model.fields,field_description",healthcare_crm.field_crm_lead__partner_specialty_ids,Specialties,Especialidades,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_hc_council__code,Code,Código,,
healthcare_management,model,"ir.model.fields,help",healthcare_management.field_hc_council__code,"Exemple: CRM, COREN.","Exemplo: CRM, COREN.",,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_hc_council__create_date,Created on,Criado em,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_hc_council__create_uid,Created by,Criado por,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_hc_council__display_name,Display Name,Nome de Exibição,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_hc_council__federal_id,Federal Council,Conselho Federal,,
healthcare_management,model,"ir.model.fields,help",healthcare_management.field_hc_council__federal_id,Relates to the Federal Council (if this is a regional one).,Relacionado ao Conselho Federal (caso este seja um conselho regional).,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_hc_council__has_message,Has Message,Tem mensagem,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_hc_council__id,ID,,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_hc_council__message_attachment_count,Attachment Count,Contagem de anexos,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_hc_council__message_follower_ids,Followers,Seguidores,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_hc_council__message_has_error,Message Delivery error,Erro de entrega de mensagem,,
healthcare_management,model,"ir.model.fields,help",healthcare_management.field_hc_council__message_has_error,"If checked, some messages have a delivery error.","Se marcado, algumas mensagens apresentam erro de entrega.",,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_hc_council__message_has_error_counter,Number of errors,Número de erros,,
healthcare_management,model,"ir.model.fields,help",healthcare_management.field_hc_council__message_has_error_counter,Number of messages with delivery error,Número de mensagens com erro na entrega,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_hc_council__message_has_sms_error,SMS Delivery error,Erro de entrega de SMS,,
healthcare_management,model,"ir.model.fields,help",healthcare_management.field_hc_council__message_has_sms_error,"If checked, some messages have a delivery error.","Se marcado, algumas mensagens apresentam erro de entrega.",,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_hc_council__message_ids,Messages,Mensagens,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_hc_council__message_is_follower,Is Follower,Ã‰ seguidor,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_hc_council__message_needaction,Action Needed,Ação Necessária,,
healthcare_management,model,"ir.model.fields,help",healthcare_management.field_hc_council__message_needaction,"If checked, new messages require your attention.","Se marcada, novas mensagens requerem sua atenção.",,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_hc_council__message_needaction_counter,Number of Actions,Número de ações,,
healthcare_management,model,"ir.model.fields,help",healthcare_management.field_hc_council__message_needaction_counter,Number of messages requiring action,Número de mensagens que requerem ação,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_hc_council__message_partner_ids,Followers (Partners),Seguidores,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_hc_council__name,Name,Nome,,
healthcare_management,model,"ir.model.fields,help",healthcare_management.field_hc_council__name,"Example: Regional Council of Medicine (CRM), Regional Council of Nursing (COREN).","Exemplo: Conselho Regional de Medicina (CRM), Conselho Regional de Enfermagem (COREN).",,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_hc_council__rating_ids,Ratings,Avaliações,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_hc_council__regional_ids,Regional Councils,Conselhos Regionais,,
healthcare_management,model,"ir.model.fields,help",healthcare_management.field_hc_council__regional_ids,List of Regional Councils associated with this Federal Council.,Lista de Conselhos Regionais associados a este Conselho Federal.,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_hc_council__scope,Council Type,Tipo de Conselho,,
healthcare_management,model,"ir.model.fields,help",healthcare_management.field_hc_council__scope,Is this a Federal or Regional Council?,Ã‰ um Conselho Federal ou Regional?,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_hc_council__speciality_ids,Specialities,Especialidades,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_hc_council__state_id,State,Estado,,
healthcare_management,model,"ir.model.fields,help",healthcare_management.field_hc_council__state_id,State where this Regional Council operates (if applicable).,Estado onde este Conselho Regional opera (se aplicável).,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_hc_council__website_message_ids,Website Messages,Mensagens do site,,
healthcare_management,model,"ir.model.fields,help",healthcare_management.field_hc_council__website_message_ids,Website communication history,Histórico de comunicação do site,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_hc_council__write_date,Last Updated on,Ãšltima AtualizaÃ§Ã£o em,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_hc_council__write_uid,Last Updated by,Ãšltima AtualizaÃ§Ã£o por,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_hc_profession__council_id,Federal Council,Conselho Federal,,
healthcare_management,model,"ir.model.fields,help",healthcare_management.field_hc_profession__council_id,"Federal council regulating this profession (e.g., CFM, COFEN, CFP).","Conselho federal que regula essa profissão (ex.: CFM, COFEN, CFP).",,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_hc_profession__create_date,Created on,Criado em,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_hc_profession__create_uid,Created by,Criado por,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_hc_profession__description,Descrição,,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_hc_profession__display_name,Display Name,Nome de Exibição,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_hc_profession__has_message,Has Message,Tem mensagem,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_hc_profession__id,ID,,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_hc_profession__message_attachment_count,Attachment Count,Contagem de anexos,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_hc_profession__message_follower_ids,Followers,Seguidores,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_hc_profession__message_has_error,Message Delivery error,Erro de entrega de mensagem,,
healthcare_management,model,"ir.model.fields,help",healthcare_management.field_hc_profession__message_has_error,"If checked, some messages have a delivery error.","Se marcado, algumas mensagens apresentam erro de entrega.",,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_hc_profession__message_has_error_counter,Number of errors,Número de erros,,
healthcare_management,model,"ir.model.fields,help",healthcare_management.field_hc_profession__message_has_error_counter,Number of messages with delivery error,Número de mensagens com erro na entrega,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_hc_profession__message_has_sms_error,SMS Delivery error,Erro de entrega de SMS,,
healthcare_management,model,"ir.model.fields,help",healthcare_management.field_hc_profession__message_has_sms_error,"If checked, some messages have a delivery error.","Se marcado, algumas mensagens apresentam erro de entrega.",,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_hc_profession__message_ids,Messages,Mensagens,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_hc_profession__message_is_follower,Is Follower,Ã‰ seguidor,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_hc_profession__message_needaction,Action Needed,Ação Necessária,,
healthcare_management,model,"ir.model.fields,help",healthcare_management.field_hc_profession__message_needaction,"If checked, new messages require your attention.","Se marcada, novas mensagens requerem sua atenção.",,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_hc_profession__message_needaction_counter,Number of Actions,Número de ações,,
healthcare_management,model,"ir.model.fields,help",healthcare_management.field_hc_profession__message_needaction_counter,Number of messages requiring action,Número de mensagens que requerem ação,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_hc_profession__message_partner_ids,Followers (Partners),Seguidores,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_hc_profession__name,Nome da Profissão,,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_hc_profession__rating_ids,Ratings,Avaliações,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_hc_profession__website_message_ids,Website Messages,Mensagens do site,,
healthcare_management,model,"ir.model.fields,help",healthcare_management.field_hc_profession__website_message_ids,Website communication history,Histórico de comunicação do site,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_hc_profession__write_date,Last Updated on,Ãšltima AtualizaÃ§Ã£o em,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_hc_profession__write_uid,Last Updated by,Ãšltima AtualizaÃ§Ã£o por,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_hc_speciality__create_date,Created on,Criado em,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_hc_speciality__create_uid,Created by,Criado por,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_hc_speciality__display_name,Display Name,Nome de Exibição,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_hc_speciality__federal_council_id,Federal Council,Conselho Federal,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_hc_speciality__has_message,Has Message,Tem mensagem,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_hc_speciality__id,ID,,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_hc_speciality__message_attachment_count,Attachment Count,Contagem de anexos,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_hc_speciality__message_follower_ids,Followers,Seguidores,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_hc_speciality__message_has_error,Message Delivery error,Erro de entrega de mensagem,,
healthcare_management,model,"ir.model.fields,help",healthcare_management.field_hc_speciality__message_has_error,"If checked, some messages have a delivery error.","Se marcado, algumas mensagens apresentam erro de entrega.",,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_hc_speciality__message_has_error_counter,Number of errors,Número de erros,,
healthcare_management,model,"ir.model.fields,help",healthcare_management.field_hc_speciality__message_has_error_counter,Number of messages with delivery error,Número de mensagens com erro na entrega,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_hc_speciality__message_has_sms_error,SMS Delivery error,Erro de entrega de SMS,,
healthcare_management,model,"ir.model.fields,help",healthcare_management.field_hc_speciality__message_has_sms_error,"If checked, some messages have a delivery error.","Se marcado, algumas mensagens apresentam erro de entrega.",,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_hc_speciality__message_ids,Messages,Mensagens,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_hc_speciality__message_is_follower,Is Follower,Ã‰ seguidor,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_hc_speciality__message_needaction,Action Needed,Ação Necessária,,
healthcare_management,model,"ir.model.fields,help",healthcare_management.field_hc_speciality__message_needaction,"If checked, new messages require your attention.","Se marcada, novas mensagens requerem sua atenção.",,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_hc_speciality__message_needaction_counter,Number of Actions,Número de ações,,
healthcare_management,model,"ir.model.fields,help",healthcare_management.field_hc_speciality__message_needaction_counter,Number of messages requiring action,Número de mensagens que requerem ação,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_hc_speciality__message_partner_ids,Followers (Partners),Seguidores,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_hc_speciality__name,Speciality,Especialidade,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_hc_speciality__professional_ids,Professionals,Profissionais,,
healthcare_management,model,"ir.model.fields,help",healthcare_management.field_hc_speciality__professional_ids,Profissionais com esta especialidade.,,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_hc_speciality__rating_ids,Ratings,Avaliações,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_hc_speciality__website_message_ids,Website Messages,Mensagens do site,,
healthcare_management,model,"ir.model.fields,help",healthcare_management.field_hc_speciality__website_message_ids,Website communication history,Histórico de comunicação do site,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_hc_speciality__write_date,Last Updated on,Ãšltima AtualizaÃ§Ã£o em,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_hc_speciality__write_uid,Last Updated by,Ãšltima AtualizaÃ§Ã£o por,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_res_partner__council_registration,Council Registration,Registro no Conselho,,
healthcare_management,model,"ir.model.fields,help",healthcare_management.field_res_partner__council_registration,Registration of the council of the health professional.,Registro do conselho do profissional de saúde.,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_res_partner__is_a_linked_professional,Is a Linked Professional?,Ã‰ um profissional vinculado?,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_res_partner__is_health_professional,Is Health Professional?,Ã‰ um profissional de saÃºde?,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_res_partner__profession_id,Profession,Profissão,,
healthcare_management,model,"ir.model.fields,help",healthcare_management.field_res_partner__profession_id,Profession of the health professional.,Profissão do profissional de saúde.,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_res_partner__regional_council_id,Regional Council,Conselho Regional,,
healthcare_management,model,"ir.model.fields,help",healthcare_management.field_res_partner__regional_council_id,Regional council regulating this health professional's profession.,Conselho regional que regula a profissão deste profissional de saúde.,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_res_partner__regional_council_id_domain,Allowed Regional Councils,Conselhos Regionais Permitidos,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_res_partner__speciality_ids,Specialities,Especialidades,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_res_partner__speciality_ids_domain,Allowed Specialities,Especialidades Permitidas,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_res_users__council_registration,Council Registration,Registro no Conselho,,
healthcare_management,model,"ir.model.fields,help",healthcare_management.field_res_users__council_registration,Registration of the council of the health professional.,Registro do conselho do profissional de saúde.,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_res_users__is_a_linked_professional,Is a Linked Professional?,Ã‰ um profissional vinculado?,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_res_users__is_health_professional,Is Health Professional?,Ã‰ um profissional de saÃºde?,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_res_users__profession_id,Profession,Profissão,,
healthcare_management,model,"ir.model.fields,help",healthcare_management.field_res_users__profession_id,Profession of the health professional.,Profissão do profissional de saúde.,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_res_users__regional_council_id,Regional Council,Conselho Regional,,
healthcare_management,model,"ir.model.fields,help",healthcare_management.field_res_users__regional_council_id,Regional council regulating this health professional's profession.,Conselho regional que regula a profissão deste profissional de saúde.,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_res_users__regional_council_id_domain,Allowed Regional Councils,Conselhos Regionais Permitidos,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_res_users__speciality_ids,Specialities,Especialidades,,
healthcare_management,model,"ir.model.fields,field_description",healthcare_management.field_res_users__speciality_ids_domain,Allowed Specialities,Especialidades Permitidas,,
healthcare_prescription,model,"ir.model.fields,field_description",healthcare_prescription.field_hc_prescription__create_date,Created on,Criado em,,
healthcare_prescription,model,"ir.model.fields,field_description",healthcare_prescription.field_hc_prescription__create_uid,Created by,Criado por,,
healthcare_prescription,model,"ir.model.fields,field_description",healthcare_prescription.field_hc_prescription__display_name,Display Name,Nome de Exibição,,
healthcare_prescription,model,"ir.model.fields,field_description",healthcare_prescription.field_hc_prescription__has_message,Has Message,Tem Mensagem,,
healthcare_prescription,model,"ir.model.fields,field_description",healthcare_prescription.field_hc_prescription__id,ID,,,
healthcare_prescription,model,"ir.model.fields,field_description",healthcare_prescription.field_hc_prescription__medical_report_attachment,Relatório Médico,,,
healthcare_prescription,model,"ir.model.fields,help",healthcare_prescription.field_hc_prescription__medical_report_attachment,Carregar o laudo médico do paciente (arquivo único).,,,
healthcare_prescription,model,"ir.model.fields,field_description",healthcare_prescription.field_hc_prescription__message_attachment_count,Attachment Count,Contagem de Anexos,,
healthcare_prescription,model,"ir.model.fields,field_description",healthcare_prescription.field_hc_prescription__message_follower_ids,Followers,Seguidores,,
healthcare_prescription,model,"ir.model.fields,field_description",healthcare_prescription.field_hc_prescription__message_has_error,Message Delivery error,Erro na Entrega da Mensagem,,
healthcare_prescription,model,"ir.model.fields,help",healthcare_prescription.field_hc_prescription__message_has_error,"If checked, some messages have a delivery error.","Se marcada, algumas mensagens apresentam um erro de entrega.",,
healthcare_prescription,model,"ir.model.fields,field_description",healthcare_prescription.field_hc_prescription__message_has_error_counter,Number of errors,Número de erros,,
healthcare_prescription,model,"ir.model.fields,help",healthcare_prescription.field_hc_prescription__message_has_error_counter,Number of messages with delivery error,Número de mensagens com erro na entrega,,
healthcare_prescription,model,"ir.model.fields,field_description",healthcare_prescription.field_hc_prescription__message_has_sms_error,SMS Delivery error,Erro na entrega de SMS,,
healthcare_prescription,model,"ir.model.fields,help",healthcare_prescription.field_hc_prescription__message_has_sms_error,"If checked, some messages have a delivery error.","Se marcada, algumas mensagens apresentam um erro de entrega.",,
healthcare_prescription,model,"ir.model.fields,field_description",healthcare_prescription.field_hc_prescription__message_ids,Messages,Mensagens,,
healthcare_prescription,model,"ir.model.fields,field_description",healthcare_prescription.field_hc_prescription__message_is_follower,Is Follower,Ã‰ Seguidor,,
healthcare_prescription,model,"ir.model.fields,field_description",healthcare_prescription.field_hc_prescription__message_needaction,Action Needed,Ação Necessária,,
healthcare_prescription,model,"ir.model.fields,help",healthcare_prescription.field_hc_prescription__message_needaction,"If checked, new messages require your attention.","Se marcada, novas mensagens requerem sua atenção.",,
healthcare_prescription,model,"ir.model.fields,field_description",healthcare_prescription.field_hc_prescription__message_needaction_counter,Number of Actions,Número de Ações,,
healthcare_prescription,model,"ir.model.fields,help",healthcare_prescription.field_hc_prescription__message_needaction_counter,Number of messages requiring action,Número de mensagens que exigem ação,,
healthcare_prescription,model,"ir.model.fields,field_description",healthcare_prescription.field_hc_prescription__message_partner_ids,Followers (Partners),Seguidores (Parceiros),,
healthcare_prescription,model,"ir.model.fields,field_description",healthcare_prescription.field_hc_prescription__partner_id,Titular da Prescrição,,,
healthcare_prescription,model,"ir.model.fields,help",healthcare_prescription.field_hc_prescription__partner_id,Titular da Prescrição.,,,
healthcare_prescription,model,"ir.model.fields,field_description",healthcare_prescription.field_hc_prescription__patient_birth_date,Data de Nascimento do Paciente,,,
healthcare_prescription,model,"ir.model.fields,help",healthcare_prescription.field_hc_prescription__patient_birth_date,Data de nascimento do paciente.,,,
healthcare_prescription,model,"ir.model.fields,field_description",healthcare_prescription.field_hc_prescription__patient_document_id,Paciente Documento,,,
healthcare_prescription,model,"ir.model.fields,help",healthcare_prescription.field_hc_prescription__patient_document_id,Selecione o documento de identificação do paciente.,,,
healthcare_prescription,model,"ir.model.fields,field_description",healthcare_prescription.field_hc_prescription__patient_gender,Sexo do Paciente,,,
healthcare_prescription,model,"ir.model.fields,help",healthcare_prescription.field_hc_prescription__patient_gender,Sexo do paciente.,,,
healthcare_prescription,model,"ir.model.fields,field_description",healthcare_prescription.field_hc_prescription__patient_id,Paciente,,,
healthcare_prescription,model,"ir.model.fields,help",healthcare_prescription.field_hc_prescription__patient_id,Paciente da prescrição.,,,
healthcare_prescription,model,"ir.model.fields,field_description",healthcare_prescription.field_hc_prescription__patient_is_pet,O paciente é um animal de estimação?,,,
healthcare_prescription,model,"ir.model.fields,help",healthcare_prescription.field_hc_prescription__patient_is_pet,Indique se esta receita é para um animal de estimação.,,,
healthcare_prescription,model,"ir.model.fields,field_description",healthcare_prescription.field_hc_prescription__patient_name,Nome do Paciente,,,
healthcare_prescription,model,"ir.model.fields,help",healthcare_prescription.field_hc_prescription__patient_name,Nome completo do paciente.,,,
healthcare_prescription,model,"ir.model.fields,field_description",healthcare_prescription.field_hc_prescription__prescription_attachment,Arquivo da Prescrição,,,
healthcare_prescription,model,"ir.model.fields,help",healthcare_prescription.field_hc_prescription__prescription_attachment,Carregar o arquivo da receita (arquivos únicos).,,,
healthcare_prescription,model,"ir.model.fields,field_description",healthcare_prescription.field_hc_prescription__prescription_issue_date,Data de Emissão da Prescrição,,,
healthcare_prescription,model,"ir.model.fields,help",healthcare_prescription.field_hc_prescription__prescription_issue_date,Data de emissão da prescrição.,,,
healthcare_prescription,model,"ir.model.fields,field_description",healthcare_prescription.field_hc_prescription__rating_ids,Ratings,Avaliações,,
healthcare_prescription,model,"ir.model.fields,field_description",healthcare_prescription.field_hc_prescription__responsible_document_id,Documento do Responsável,,,
healthcare_prescription,model,"ir.model.fields,help",healthcare_prescription.field_hc_prescription__responsible_document_id,Selecione o documento de identificação do responsável pelo paciente.,,,
healthcare_prescription,model,"ir.model.fields,field_description",healthcare_prescription.field_hc_prescription__website_message_ids,Website Messages,Mensagens do site,,
healthcare_prescription,model,"ir.model.fields,help",healthcare_prescription.field_hc_prescription__website_message_ids,Website communication history,Histórico de comunicação do site,,
healthcare_prescription,model,"ir.model.fields,field_description",healthcare_prescription.field_hc_prescription__write_date,Last Updated on,Ãšltima AtualizaÃ§Ã£o em,,
healthcare_prescription,model,"ir.model.fields,field_description",healthcare_prescription.field_hc_prescription__write_uid,Last Updated by,Ãšltima AtualizaÃ§Ã£o por,,
healthcare_prescription,model,"ir.model.fields,field_description",healthcare_prescription.field_res_partner__owner_prescription_ids,Owned Prescriptions,Receitas próprias,,
healthcare_prescription,model,"ir.model.fields,field_description",healthcare_prescription.field_res_partner__patient_prescription_ids,Patient Prescriptions,Prescrições do paciente,,
healthcare_prescription,model,"ir.model.fields,field_description",healthcare_prescription.field_res_users__owner_prescription_ids,Owned Prescriptions,Receitas próprias,,
healthcare_prescription,model,"ir.model.fields,field_description",healthcare_prescription.field_res_users__patient_prescription_ids,Patient Prescriptions,Receitas do paciente,,
healthcare_prescription_crm,model,"ir.model.fields,field_description",healthcare_prescription_crm.field_crm_lead__partner_is_patient,Is Patient?,É o paciente?,,
healthcare_prescription_crm,model,"ir.model.fields,field_description",healthcare_prescription_crm.field_crm_lead__partner_is_pet,Is PET?,É pet?,,
healthcare_prescription_crm,model,"ir.model.fields,field_description",healthcare_prescription_crm.field_crm_lead__partner_owner_prescription_ids,Owned Prescriptions,Receita própria,,
healthcare_prescription_crm,model,"ir.model.fields,field_description",healthcare_prescription_crm.field_crm_lead__partner_patient_prescription_ids,Patient Prescriptions,Receitas do paciente,,
partner_associated_type,model,"ir.model.fields,field_description",partner_associated_type.field_res_partner__associated_type_id,Associated Type,Tipo de associado,,
partner_associated_type,model,"ir.model.fields,help",partner_associated_type.field_res_partner__associated_type_id,Defines the type of association for this partner.,Define o tipo de associação para este parceiro.,,
